text,label
"Đi ăn với gia đình, không khí ấm áp lắm.",Positive
"Hôm nay làm việc hiệu quả, cảm giác thật tốt.",Positive
"Được bạn bè khen, mình rất vui.",Positive
"Đi xem hoa, cảnh đẹp không tả nổi.",Positive
"Nhận được lời khen từ sếp, tự hào lắm.",Positive
"Mình vừa hoàn thành một dự án lớn, nhẹ nhõm quá.",Positive
"Đi chơi với bạn thân, kỷ niệm đẹp quá.",Positive
"Nhận được tin vui từ bạn, mình hạnh phúc lắm.",Positive
"Hôm nay được nghỉ, cảm giác thật thoải mái.",Positive
"Được ăn món ngon, thích không chịu nổi.",Positive
"Đi xem phim hoạt hình, dễ thương lắm.",Positive
"Nhận được lời mời dự tiệc, phấn khích ghê.",Positive
"Mình vừa đạt được một thành tích, tự hào lắm.",Positive
"Đi dạo bờ sông, không khí trong lành quá.",Positive
"Được khen sáng tạo, cảm giác thật tuyệt.",Positive
"Đi xem show âm nhạc, sôi động lắm.",Positive
"Nhận được thư cảm ơn, cảm giác thật đặc biệt.",Positive
"Hôm nay làm việc nhóm suôn sẻ, vui lắm.",Positive
"Được tặng một món quà nhỏ, cảm động ghê.",Positive
"Đi xem pháo hoa đẹp, thích không tả nổi.",Positive
"Nhận được lời mời đi du lịch, phấn khích lắm.",Positive
"Được ăn món mẹ làm, hạnh phúc quá.",Positive
"Mình vừa hoàn thành một bài thi, nhẹ nhõm lắm.",Positive
"Hôm nay trời mát, mình thích đi chơi.",Positive
"Được khen giỏi, cảm giác thật hạnh phúc.",Positive
"Đi xem ca nhạc trực tiếp, sôi động lắm.",Positive
"Nhận được tin nhắn dễ thương từ bạn, ấm áp ghê.",Positive
"Hôm nay làm việc hiệu quả, mình rất hài lòng.",Positive
"Được bạn thân tặng quà, cảm giác thật ấm áp.",Positive
"Đi chụp ảnh phong cảnh, đẹp không tả nổi.",Positive
"Nhận được lời cảm ơn từ thầy cô, vui lắm.",Positive
"Mình vừa học được một món ăn mới, thú vị ghê.",Positive
"Đi xem phim hài, cười suốt buổi luôn.",Positive
"Hôm nay được nghỉ ngơi, thoải mái quá.",Positive
"Được tặng vé xem phim, cảm giác thật tuyệt.",Positive
"Đi dự sinh nhật, không khí vui vẻ lắm.",Positive
"Nhận được tin vui từ gia đình, phấn khích ghê.",Positive
"Mình vừa hoàn thành một khóa học online, tự hào lắm.",Positive
"Đi chơi công viên giải trí, thích không chịu nổi.",Positive
"Hôm nay trời đẹp, mình thích đi dạo.",Positive
"Được khen học giỏi, cảm giác thật hạnh phúc.",Positive
"Đi xem triển lãm tranh, thú vị lắm.",Positive
"Nhận được tin nhắn động viên từ bạn, cảm động.",Positive
"Mình vừa học được một bài hát hay, vui quá.",Positive
"Đi ăn tối với gia đình, không khí ấm áp lắm.",Positive
"Hôm nay làm việc nhóm hiệu quả, cảm giác thật tốt.",Positive
"Được bạn bè khen ngợi, mình rất vui.",Positive
"Đi xem vườn hoa, cảnh đẹp không tả nổi.",Positive
"Nhận được lời khen từ cô giáo, tự hào lắm.",Positive
"Mình vừa hoàn thành một bài tập khó, nhẹ nhõm quá.",Positive
"Đi chơi với bạn thân, kỷ niệm đẹp quá.",Positive
"Nhận được tin vui từ anh chị, mình hạnh phúc lắm.",Positive
"Hôm nay được nghỉ dài, cảm giác thật thoải mái.",Positive
"Được ăn món ngon mẹ nấu, thích không chịu nổi.",Positive
"Đi xem phim hoạt hình dễ thương, yêu ghê.",Positive
"Nhận được lời mời đi chơi xa, phấn khích lắm.",Positive
"Mình vừa đạt được một giải thưởng, tự hào lắm.",Positive
"Đi dạo công viên, không khí trong lành quá.",Positive
"Được khen sáng tạo, cảm giác thật tuyệt.",Positive
"Đi xem show ca nhạc, sôi động lắm.",Positive
"Nhận được thư tay từ bạn, cảm giác thật đặc biệt.",Positive
"Hôm nay làm việc nhóm suôn sẻ, vui lắm.",Positive
"Được tặng một món quà bất ngờ, cảm động ghê.",Positive
"Đi xem pháo hoa lung linh, thích không tả nổi.",Positive
"Nhận được lời mời đi du lịch, phấn khích lắm.",Positive
"Được ăn món yêu thích, hạnh phúc quá.",Positive
"Mình vừa hoàn thành một thử thách lớn, tự hào lắm.",Positive
"Hôm nay trời đẹp, mình thích đi chơi.",Positive
"Được khen giỏi giang, cảm giác thật hạnh phúc.",Positive
"Đi xem ca nhạc trực tiếp, sôi động lắm.",Positive
"Nhận được tin nhắn dễ thương từ bạn thân, ấm áp ghê.",Positive
"Hôm nay làm việc hiệu quả, mình rất hài lòng.",Positive
"Được bạn thân tặng quà sinh nhật, cảm giác thật ấm áp.",Positive
"Đi chụp ảnh phong cảnh đẹp, thích không tả nổi.",Positive
"Nhận được lời cảm ơn từ bạn bè, vui lắm.",Positive
"Mình vừa học được một món ăn mới, thú vị ghê.",Positive
"Đi xem phim hài, cười suốt buổi luôn.",Positive
"Hôm nay được ngủ nướng, thoải mái quá.",Positive
"Được tặng vé xem phim, cảm giác thật tuyệt.",Positive
"Đi dự tiệc sinh nhật, không khí vui vẻ lắm.",Positive
"Nhận được tin vui từ trường học, phấn khích ghê.",Positive
"Mình vừa hoàn thành một khóa học khó, tự hào lắm.",Positive
"Đi chơi công viên giải trí, thích không chịu nổi.",Positive
"Hôm nay trời đẹp, mình thích đi dạo.",Positive
"Được khen học giỏi, cảm giác thật hạnh phúc.",Positive
"Đi xem triển lãm tranh, thú vị lắm.",Positive
Hôm nay tơi đi làm buồn.,Negative
"Mình bị điểm thấp, thất vọng quá.",Negative
"Bài tập này khó quá, mình không làm được.",Negative
"Thầy giáo giảng bài khó hiểu, mình chán.",Negative
"Món ăn này dở tệ, không muốn ăn nữa.",Negative
"Mình vừa thất bại dự án, buồn lắm.",Negative
"Hôm nay bị mắng, cảm giác thật tệ.",Negative
"Đội bóng mình thích thua, thất vọng ghê.",Negative
"Mình bị bạn bè bỏ rơi, cảm thấy cô đơn.",Negative
"Cuốn sách này chán, đọc mà buồn ngủ.",Negative
"Đi biển hôm nay đông quá, mình không thích.",Negative
"Nghe tin xấu, mình buồn cả ngày.",Negative
"Không được nghỉ học, mệt mỏi quá.",Negative
"Bài thuyết trình thất bại, mình rất buồn.",Negative
"Mua hớ món đồ, tiếc tiền ghê.",Negative
"Đi xem phim với bạn, nhưng phim dở quá.",Negative
Nghe bài hát này làm mình buồn hơn.,Negative
"Bị bạn bè hiểu lầm, mình thất vọng lắm.",Negative
"Hôm nay làm việc không hiệu quả, chán ghê.",Negative
"Thời tiết nóng bức, mình không thích.",Negative
"Mình không học được kỹ năng mới, buồn quá.",Negative
"Đồ ăn mẹ nấu hôm nay không ngon, tiếc ghê.",Negative
"Đi công viên hôm nay đông quá, chán.",Negative
"Không được khen, mình thấy buồn.",Negative
"Mình vừa thua một trò chơi, thất vọng ghê.",Negative
"Không được gặp thần tượng, buồn không chịu nổi.",Negative
"Mua hỏng vé xem concert, tiếc lắm.",Negative
"Hôm nay phải làm việc, mệt mỏi quá.",Negative
"Đi ăn với đồng nghiệp, không khí căng thẳng.",Negative
"Không nhận được học bổng, mình thất vọng.",Negative
"Hôm nay không gặp được bạn cũ, buồn ghê.",Negative
"Mình chưa hoàn thành bài tập, áp lực quá.",Negative
"Đi du lịch với gia đình, nhưng thời tiết xấu.",Negative
"Không nhận được lời chúc mừng, mình buồn.",Negative
"Không được tặng hoa, cảm giác thật tệ.",Negative
"Đi xem triển lãm, nhưng không thú vị.",Negative
"Hôm nay không học được gì mới, chán ghê.",Negative
"Bạn bè không giúp đỡ, mình thất vọng.",Negative
"Mình chưa đạt được mục tiêu, buồn lắm.",Negative
"Nghe tin xấu từ gia đình, mình rất buồn.",Negative
"Đi dạo công viên, nhưng trời mưa.",Negative
"Không được khen, mình thấy thất vọng.",Negative
"Đi ăn buffet, món nào cũng dở, chán ghê.",Negative
"Không nhận được tin nhắn, cảm giác cô đơn.",Negative
"Hôm nay làm việc nhóm không hiệu quả, buồn.",Negative
"Không được tặng quà, mình thất vọng.",Negative
"Đi xem pháo hoa, nhưng trời mưa to.",Negative
"Không được mời đi chơi, mình buồn.",Negative
"Đồ ăn hôm nay không ngon, thất vọng ghê.",Negative
"Mình chưa hoàn thành thử thách, tiếc lắm.",Negative
"Hôm nay trời mưa, không đi chơi được.",Negative
"Không được khen, cảm giác thật buồn.",Negative
"Đi xem ca nhạc, nhưng âm thanh tệ.",Negative
"Không nhận được thư tay, mình thất vọng.",Negative
"Hôm nay làm việc không suôn sẻ, chán ghê.",Negative
"Bạn thân không tâm sự, cảm giác cô đơn.",Negative
"Đi chụp ảnh, nhưng trời mưa to.",Negative
"Không nhận được lời cảm ơn, mình buồn.",Negative
"Mình nấu ăn thất bại, thất vọng ghê.",Negative
"Đi xem phim, nhưng phim không hay.",Negative
"Hôm nay phải làm việc, mệt mỏi quá.",Negative
"Không được tặng vé xem phim, buồn ghê.",Negative
"Đi ăn sinh nhật, nhưng không vui.",Negative
"Nghe tin xấu từ trường, mình thất vọng.",Negative
"Mình không hoàn thành khóa học, buồn lắm.",Negative
"Đi công viên nước, nhưng trời lạnh.",Negative
"Hôm nay trời mưa, không đi dạo được.",Negative
"Không được khen, cảm giác thật tệ.",Negative
"Đi xem triển lãm sách, nhưng chán.",Negative
"Không nhận được tin nhắn, mình buồn.",Negative
"Mình không học được bài hát mới, thất vọng.",Negative
"Đi ăn với gia đình, nhưng không ngon.",Negative
"Hôm nay làm việc nhóm không hiệu quả, chán.",Negative
"Bạn bè không khen, mình thất vọng.",Negative
"Đi xem hoa, nhưng hoa không đẹp.",Negative
"Không nhận được lời khen, mình buồn.",Negative
"Mình chưa hoàn thành dự án, áp lực quá.",Negative
"Đi chơi với bạn thân, nhưng cãi nhau.",Negative
"Nghe tin xấu từ bạn, mình rất buồn.",Negative
"Hôm nay phải học, mệt mỏi quá.",Negative
"Đồ ăn không ngon, thất vọng ghê.",Negative
"Đi xem phim hoạt hình, nhưng không hay.",Negative
"Không được mời đi chơi, mình buồn.",Negative
"Mình không đạt được mục tiêu, thất vọng.",Negative
"Đi dạo bờ sông, nhưng trời mưa.",Negative
"Không được khen sáng tạo, mình buồn.",Negative
"Đi xem show âm nhạc, nhưng không hay.",Negative
"Không nhận được thư, cảm giác cô đơn.",Negative
"Hôm nay làm việc nhóm không tốt, chán.",Negative
"Không được tặng quà, mình thất vọng.",Negative
"Đi xem pháo hoa, nhưng trời mưa.",Negative
"Không được mời đi du lịch, buồn ghê.",Negative
"Đồ ăn mẹ làm hôm nay không ngon, tiếc.",Negative
"Mình chưa hoàn thành bài thi, áp lực lắm.",Negative
"Hôm nay trời nóng, không đi chơi được.",Negative
"Không được khen giỏi, mình thất vọng.",Negative
"Đi xem ca nhạc, nhưng âm thanh dở.",Negative
"Không nhận được tin nhắn, cảm giác buồn.",Negative
"Hôm nay làm việc không hiệu quả, chán.",Negative
"Bạn thân không tặng quà, mình buồn.",Negative
"Đi chụp ảnh, nhưng trời tối.",Negative
"Không nhận được lời cảm ơn, thất vọng.",Negative
"Mình học nấu ăn thất bại, buồn ghê.",Negative
"Đi xem phim hài, nhưng không vui.",Negative
"Hôm nay phải làm bài tập, mệt mỏi quá.",Negative
"Không được tặng vé xem phim, buồn ghê.",Negative
"Đi dự tiệc, nhưng không vui.",Negative
"Nghe tin xấu từ gia đình, mình buồn.",Negative
"Mình không hoàn thành khóa học, thất vọng.",Negative
"Đi công viên giải trí, nhưng trời mưa.",Negative
"Hôm nay trời nóng, không đi dạo được.",Negative
"Không được khen học giỏi, mình buồn.",Negative
"Đi xem triển lãm tranh, nhưng chán.",Negative
"Không nhận được tin nhắn động viên, buồn.",Negative
"Mình không học được bài hát, thất vọng.",Negative
"Đi ăn tối với gia đình, nhưng không ngon.",Negative
"Hôm nay làm việc nhóm không tốt, chán.",Negative
"Bạn bè không khen ngợi, mình buồn.",Negative
"Đi xem vườn hoa, nhưng hoa héo.",Negative
"Không nhận được lời khen, mình thất vọng.",Negative
"Mình chưa hoàn thành bài tập, áp lực quá.",Negative
"Đi chơi với bạn thân, nhưng không vui.",Negative
"Nghe tin xấu từ anh chị, mình buồn.",Negative
"Hôm nay phải làm việc, mệt mỏi quá.",Negative
"Đồ ăn không ngon, thất vọng ghê.",Negative
"Đi xem phim hoạt hình, nhưng chán.",Negative
"Không được mời đi chơi xa, mình buồn.",Negative
"Mình không đạt được giải thưởng, thất vọng.",Negative
"Đi dạo công viên, nhưng trời mưa to.",Negative
"Không được khen sáng tạo, mình buồn.",Negative
"Đi xem show ca nhạc, nhưng không hay.",Negative
"Không nhận được thư tay, cảm giác cô đơn.",Negative
"Hôm nay làm việc nhóm không hiệu quả, chán.",Negative
"Không được tặng quà bất ngờ, mình buồn.",Negative
"Đi xem pháo hoa, nhưng trời mưa lớn.",Negative
"Không được mời đi du lịch, thất vọng ghê.",Negative
"Đồ ăn mẹ nấu hôm nay dở, tiếc lắm.",Negative
"Mình chưa hoàn thành thử thách, buồn ghê.",Negative
"Hôm nay trời nóng bức, không đi chơi được.",Negative
"Không được khen giỏi giang, mình thất vọng.",Negative
"Đi xem ca nhạc trực tiếp, nhưng không vui.",Negative
"Không nhận được tin nhắn bạn thân, buồn.",Negative
"Hôm nay làm việc không suôn sẻ, chán ghê.",Negative
"Bạn thân không tặng quà sinh nhật, thất vọng.",Negative
"Đi chụp ảnh phong cảnh, nhưng trời mưa.",Negative
"Không nhận được lời cảm ơn bạn bè, buồn.",Negative
"Mình học nấu ăn thất bại, thất vọng ghê.",Negative
"Đi xem phim hài, nhưng không cười được.",Negative
"Hôm nay phải làm việc, mệt mỏi quá.",Negative
"Không được tặng vé xem phim, buồn ghê.",Negative
"Đi dự tiệc sinh nhật, nhưng không vui.",Negative
"Nghe tin xấu từ trường học, mình buồn.",Negative
"Mình không hoàn thành khóa học, thất vọng.",Negative
"Đi công viên giải trí, nhưng trời mưa.",Negative
"Hôm nay trời nóng, không đi dạo được.",Negative
"Không được khen học giỏi, mình buồn.",Negative
"Đi xem triển lãm tranh, nhưng không thú vị.",Negative
Bài tập hôm nay hơi khó.,Neutral
Thầy giáo giảng bài bình thường.,Neutral
"Món ăn này cũng ổn, không đặc biệt.",Neutral
"Mình vừa làm xong bài tập, bình thường.",Neutral
"Hôm nay đi làm, không có gì đặc biệt.",Neutral
Đội bóng mình thích thi đấu hôm nay.,Neutral
Mình vừa gặp một người bạn cũ.,Neutral
"Cuốn sách này đọc được, không hay lắm.",Neutral
"Đi biển hôm nay, cũng bình thường thôi.",Neutral
"Nghe tin tức, không có gì mới.",Neutral
Ngày hôm nay trôi qua bình thường.,Neutral
"Bài thuyết trình hôm nay ổn, không tệ.",Neutral
"Mua một món đồ mới, cũng được.",Neutral
"Đi xem phim, phim này bình thường.",Neutral
"Nghe bài hát này, cũng ổn.",Neutral
"Bạn bè vừa nhắn tin, bình thường thôi.",Neutral
"Hôm nay làm việc bình thường, không đặc biệt.",Neutral
Thời tiết hôm nay không nóng không lạnh.,Neutral
"Mình vừa học một kỹ năng, cũng ổn.",Neutral
Đồ ăn mẹ nấu hôm nay bình thường.,Neutral
"Đi công viên, không đông cũng không vắng.",Neutral
"Nhận được tin nhắn, không có gì mới.",Neutral
"Mình vừa chơi một trò chơi, cũng được.",Neutral
"Không được gặp thần tượng, cũng bình thường.",Neutral
"Mua vé xem concert, chờ đợi thôi.",Neutral
"Hôm nay làm việc, không có gì đặc biệt.",Neutral
"Đi ăn với đồng nghiệp, bình thường thôi.",Neutral
"Không nhận được học bổng, cũng không sao.",Neutral
"Hôm nay gặp bạn cũ, nói chuyện bình thường.",Neutral
"Mình vừa làm bài tập, không khó không dễ.",Neutral
"Đi du lịch, cảnh cũng bình thường.",Neutral
"Nhận được tin nhắn, không có gì đặc biệt.",Neutral
"Không được tặng hoa, cũng không sao.",Neutral
"Đi xem triển lãm, bình thường thôi.",Neutral
"Hôm nay học một bài mới, cũng ổn.",Neutral
"Bạn bè nhắn tin, không có gì đặc biệt.",Neutral
"Mình vừa làm một việc, bình thường.",Neutral
"Nghe tin tức gia đình, không có gì mới.",Neutral
"Đi dạo công viên, cũng bình thường.",Neutral
"Không được khen, cũng không sao.",Neutral
"Đi ăn buffet, món ăn bình thường.",Neutral
"Nhận được tin nhắn, không đặc biệt.",Neutral
"Hôm nay làm việc nhóm, bình thường thôi.",Neutral
"Không được tặng quà, cũng không sao.",Neutral
"Đi xem pháo hoa, cũng bình thường.",Neutral
"Không được mời đi chơi, không sao cả.",Neutral
"Đồ ăn hôm nay, không ngon không dở.",Neutral
"Mình vừa làm một việc, bình thường.",Neutral
"Hôm nay trời bình thường, không mưa không nắng.",Neutral
"Không được khen, cũng không sao.",Neutral
"Đi xem ca nhạc, bình thường thôi.",Neutral
"Nhận được thư tay, cũng bình thường.",Neutral
"Hôm nay làm việc, không có gì đặc biệt.",Neutral
"Bạn thân nhắn tin, bình thường thôi.",Neutral
"Đi chụp ảnh, cũng bình thường.",Neutral
"Nhận được lời cảm ơn, không đặc biệt.",Neutral
"Mình vừa nấu ăn, bình thường thôi.",Neutral
"Đi xem phim, phim này bình thường.",Neutral
"Hôm nay đi làm, không có gì đặc biệt.",Neutral
"Không được tặng vé xem phim, cũng ổn.",Neutral
"Đi ăn sinh nhật, bình thường thôi.",Neutral
"Nghe tin từ trường, không có gì mới.",Neutral
"Mình vừa làm bài tập, bình thường.",Neutral
"Đi công viên nước, cũng bình thường.",Neutral
"Hôm nay trời bình thường, không nóng.",Neutral
"Không được khen, cũng không sao.",Neutral
"Đi xem triển lãm sách, bình thường.",Neutral
"Nhận được tin nhắn, không đặc biệt.",Neutral
"Mình vừa học một bài hát, bình thường.",Neutral
"Đi ăn với gia đình, cũng bình thường.",Neutral
"Hôm nay làm việc nhóm, không đặc biệt.",Neutral
"Bạn bè nhắn tin, bình thường thôi.",Neutral
"Đi xem hoa, cũng bình thường.",Neutral
"Nhận được lời khen, không đặc biệt.",Neutral
"Mình vừa làm bài tập, bình thường.",Neutral
"Đi chơi với bạn thân, cũng bình thường.",Neutral
"Nghe tin từ bạn, không có gì mới.",Neutral
"Hôm nay đi học, bình thường thôi.",Neutral
"Đồ ăn hôm nay, không ngon không dở.",Neutral
"Đi xem phim hoạt hình, bình thường.",Neutral
"Không được mời đi chơi, cũng ổn.",Neutral
"Mình vừa làm một việc, bình thường.",Neutral
"Đi dạo bờ sông, cũng bình thường.",Neutral
"Không được khen sáng tạo, không sao.",Neutral
"Đi xem show âm nhạc, bình thường.",Neutral
"Nhận được thư, không có gì đặc biệt.",Neutral
